#-----------------------------------------------------------------------------
# Date d'extraction : 27/12/2025 - 19h01 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP2.6 : Emissions maîtrisées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATAV : Ecart de température moyenne journalière (°C)
#     APN20MM : Ecart de nombre de jours de fortes précipitations (jour(s))
#     AFF98 : Ecart de nombre de jours de vent fort (jour(s))
#     ARRR : Ecart relatif de cumul de précipitation
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATAV;APN20MM;AFF98;ARRR;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;ATAV;APN20MM;AFF98;ARRR;
2213;42.6366;2.3852;RCP2.6;H1;1.28;2;0.3;0.17;
2214;42.6365;2.4825;RCP2.6;H1;1.22;2;-0.26;0.2;
2215;42.6363;2.5798;RCP2.6;H1;1.29;2;0.36;0.16;
2216;42.6361;2.6771;RCP2.6;H1;1.24;2;0.3;0.19;
2217;42.6357;2.7744;RCP2.6;H1;1.21;2;0.4;0.22;
2218;42.6353;2.8717;RCP2.6;H1;1.23;2;0.5;0.22;
2219;42.6347;2.969;RCP2.6;H1;1.24;2;0.33;0.22;
2220;42.6341;3.0663;RCP2.6;H1;0;0;0;0.22;
2278;42.4462;8.6957;RCP2.6;H1;1.21;1;0.57;0.08;
2279;42.4404;8.7924;RCP2.6;H1;1.3;1;1;0.09;
2280;42.4344;8.889;RCP2.6;H1;1.36;2;1.37;0.09;
2281;42.4284;8.9856;RCP2.6;H1;1.47;2;-1.1;0.09;
2282;42.4223;9.0822;RCP2.6;H1;1.36;2;-1.26;0.05;
2283;42.4161;9.1788;RCP2.6;H1;1.36;1;-1.5;0.04;
2284;42.4098;9.2753;RCP2.6;H1;1.41;2;1.17;0.11;
2285;42.4034;9.3719;RCP2.6;H1;1.46;2;0.2;0.14;
2286;42.397;9.4684;RCP2.6;H1;1.35;1;0.4;0.14;
2331;42.6817;-0.0495;RCP2.6;H1;0;0;0;-0.03;
2332;42.6839;0.0479;RCP2.6;H1;0;0;0;-0.03;
2333;42.6859;0.1452;RCP2.6;H1;0;0;0;-0.01;
2334;42.6879;0.2426;RCP2.6;H1;0;0;0;-0.01;
2335;42.6897;0.3399;RCP2.6;H1;0;0;0;-0.01;
2336;42.6915;0.4373;RCP2.6;H1;1.39;-1;-1.37;0.03;
2337;42.6932;0.5346;RCP2.6;H1;1.27;1;-0.76;0.03;
2338;42.6948;0.632;RCP2.6;H1;1.28;0;-0.8;0.02;
2343;42.7015;1.1189;RCP2.6;H1;0;0;0;0.01;
2344;42.7026;1.2163;RCP2.6;H1;0;0;0;0.03;
2345;42.7036;1.3137;RCP2.6;H1;0;0;0;0.02;
2346;42.7044;1.4111;RCP2.6;H1;1.64;2;-1.47;0.03;
2347;42.7052;1.5086;RCP2.6;H1;1.31;1;-0.76;0.04;
2348;42.706;1.606;RCP2.6;H1;1.42;0;-1.03;0.04;
2349;42.7066;1.7034;RCP2.6;H1;1.42;-1;-1.1;0.05;
2350;42.7071;1.8008;RCP2.6;H1;1.33;2;-1.03;0.07;
2351;42.7076;1.8982;RCP2.6;H1;1.36;2;-0.43;0.08;
2352;42.7079;1.9956;RCP2.6;H1;1.38;2;-0.43;0.07;
2353;42.7082;2.093;RCP2.6;H1;1.33;2;0.93;0.1;
2354;42.7084;2.1905;RCP2.6;H1;1.36;2;0.67;0.1;
2355;42.7085;2.2879;RCP2.6;H1;1.34;2;0.44;0.15;
