#-----------------------------------------------------------------------------
# Date d'extraction : 27/12/2025 - 18h56 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATAV : Ecart de température moyenne journalière (°C)
#     APN20MM : Ecart de nombre de jours de fortes précipitations (jour(s))
#     AFF98 : Ecart de nombre de jours de vent fort (jour(s))
#     ARRR : Ecart relatif de cumul de précipitation
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATAV;APN20MM;AFF98;ARRR;
#-----------------------------------------------------------------------------
2213;42.6366;2.3852;RCP8.5;H1;1.23;1;-0.34;0.05;
2214;42.6365;2.4825;RCP8.5;H1;1.17;0;-0.9;0.07;
2215;42.6363;2.5798;RCP8.5;H1;1.18;1;-0.5;0.09;
2216;42.6361;2.6771;RCP8.5;H1;1.16;1;-0.7;0.12;
2217;42.6357;2.7744;RCP8.5;H1;1.13;2;-0.63;0.15;
2218;42.6353;2.8717;RCP8.5;H1;1.15;1;-0.57;0.16;
2219;42.6347;2.969;RCP8.5;H1;1.15;1;-0.77;0.16;
2220;42.6341;3.0663;RCP8.5;H1;0;0;0;0.16;
2278;42.4462;8.6957;RCP8.5;H1;1.17;2;0.63;0.11;
2279;42.4404;8.7924;RCP8.5;H1;1.29;2;0.5;0.13;
2280;42.4344;8.889;RCP8.5;H1;1.36;2;0.03;0.09;
2281;42.4284;8.9856;RCP8.5;H1;1.46;3;-1.66;0.12;
2282;42.4223;9.0822;RCP8.5;H1;1.38;2;-0.43;0.07;
2283;42.4161;9.1788;RCP8.5;H1;1.38;1;0;0.09;
2284;42.4098;9.2753;RCP8.5;H1;1.41;2;1.13;0.08;
2285;42.4034;9.3719;RCP8.5;H1;1.41;1;0.47;0.09;
2286;42.397;9.4684;RCP8.5;H1;1.31;1;0.8;0.12;
2331;42.6817;-0.0495;RCP8.5;H1;0;0;0;-0.02;
2332;42.6839;0.0479;RCP8.5;H1;0;0;0;-0.02;
2333;42.6859;0.1452;RCP8.5;H1;0;0;0;-0;
2334;42.6879;0.2426;RCP8.5;H1;0;0;0;-0.01;
2335;42.6897;0.3399;RCP8.5;H1;0;0;0;-0.01;
2336;42.6915;0.4373;RCP8.5;H1;1.38;-1;-1.9;-0;
2337;42.6932;0.5346;RCP8.5;H1;1.26;-2;-1.1;-0.02;
2338;42.6948;0.632;RCP8.5;H1;1.26;-2;-1.2;-0.03;
2343;42.7015;1.1189;RCP8.5;H1;0;0;0;-0.04;
2344;42.7026;1.2163;RCP8.5;H1;0;0;0;-0.05;
2345;42.7036;1.3137;RCP8.5;H1;0;0;0;-0.05;
2346;42.7044;1.4111;RCP8.5;H1;1.67;-1;-1.8;-0.05;
2347;42.7052;1.5086;RCP8.5;H1;1.31;-2;-1.46;-0.05;
2348;42.706;1.606;RCP8.5;H1;1.3;-1;-0.96;-0.04;
2349;42.7066;1.7034;RCP8.5;H1;1.29;-1;-0.73;-0.03;
2350;42.7071;1.8008;RCP8.5;H1;1.25;0;-1.5;-0;
2351;42.7076;1.8982;RCP8.5;H1;1.26;-2;-0.53;-0.01;
2352;42.7079;1.9956;RCP8.5;H1;1.27;-1;-0.5;-0.03;
2353;42.7082;2.093;RCP8.5;H1;1.25;0;-0.74;0;
2354;42.7084;2.1905;RCP8.5;H1;1.27;-1;-0.46;-0;
2355;42.7085;2.2879;RCP8.5;H1;1.3;0;0;0.04;
2356;42.7085;2.3853;RCP8.5;H1;1.25;0;-0.26;0.06;
2357;42.7084;2.4827;RCP8.5;H1;1.21;1;-0.9;0.07;
2358;42.7082;2.5801;RCP8.5;H1;1.21;1;-0.76;0.08;
2359;42.7079;2.6775;RCP8.5;H1;1.19;1;-0.73;0.1;
2360;42.7076;2.775;RCP8.5;H1;1.14;1;-0.47;0.13;
2361;42.7071;2.8724;RCP8.5;H1;1.17;1;-0.23;0.14;
2362;42.7066;2.9698;RCP8.5;H1;1.17;1;-0.26;0.14;
2363;42.706;3.0672;RCP8.5;H1;0;0;0;0.14;
2421;42.5178;8.7036;RCP8.5;H1;1.18;1;0.53;0.06;
2422;42.512;8.8003;RCP8.5;H1;1.17;1;0.5;0.06;
2423;42.506;8.8971;RCP8.5;H1;1.29;1;0.94;0.06;
2424;42.5;8.9938;RCP8.5;H1;1.34;1;-0.54;0.06;
2425;42.4939;9.0905;RCP8.5;H1;1.35;1;0.67;0.09;
2426;42.4877;9.1872;RCP8.5;H1;1.32;1;0.14;0.1;
2427;42.4814;9.2839;RCP8.5;H1;1.43;2;0.83;0.1;
2428;42.475;9.3805;RCP8.5;H1;1.37;1;1.03;0.12;
2429;42.4685;9.4772;RCP8.5;H1;1.16;1;-0.06;0.12;
2430;42.4619;9.5738;RCP8.5;H1;0;0;0;0.12;
2473;42.7513;-0.1499;RCP8.5;H1;0;0;0;-0.04;
2474;42.7535;-0.0524;RCP8.5;H1;1.36;-1;-1.47;-0.05;
2475;42.7557;0.045;RCP8.5;H1;1.37;-2;-1.5;-0.05;
2476;42.7577;0.1425;RCP8.5;H1;1.38;0;-1.4;-0.03;
2477;42.7597;0.24;RCP8.5;H1;1.38;-3;-1.73;-0.01;
2478;42.7616;0.3374;RCP8.5;H1;1.37;-2;-1.8;-0.01;
2479;42.7634;0.4349;RCP8.5;H1;1.43;0;-1.67;-0.02;
2480;42.765;0.5324;RCP8.5;H1;1.29;-1;-0.84;-0.02;
2481;42.7667;0.6299;RCP8.5;H1;1.3;1;-0.87;-0.01;
2484;42.7709;0.9224;RCP8.5;H1;1.37;-1;-1.57;-0.04;
2485;42.7722;1.0199;RCP8.5;H1;0;0;0;-0.04;
2486;42.7733;1.1174;RCP8.5;H1;1.33;-1;-1.63;-0.03;
2487;42.7744;1.2149;RCP8.5;H1;1.31;0;-1.47;-0.01;
2488;42.7754;1.3125;RCP8.5;H1;1.32;1;-1.97;-0.01;
2489;42.7763;1.41;RCP8.5;H1;1.32;-1;-2.06;-0.02;
2490;42.7771;1.5075;RCP8.5;H1;1.3;0;-2.53;-0.02;
2491;42.7778;1.6051;RCP8.5;H1;1.27;1;-0.7;-0;
2492;42.7784;1.7026;RCP8.5;H1;1.26;1;-0.7;0.01;
2493;42.779;1.8001;RCP8.5;H1;1.25;0;-1.6;0;
2494;42.7794;1.8977;RCP8.5;H1;1.26;-2;-0.86;-0.02;
2495;42.7798;1.9952;RCP8.5;H1;1.28;-1;-1.13;-0;
2496;42.78;2.0927;RCP8.5;H1;1.22;-1;-0.33;0;
2497;42.7802;2.1903;RCP8.5;H1;1.21;0;-0.27;0.01;
2498;42.7803;2.2878;RCP8.5;H1;1.21;0;-0.53;0.04;
2499;42.7803;2.3854;RCP8.5;H1;1.18;1;-0.1;0.06;
2500;42.7802;2.4829;RCP8.5;H1;1.16;1;-0.13;0.06;
2501;42.78;2.5804;RCP8.5;H1;1.2;0;0;0.04;
2502;42.7798;2.678;RCP8.5;H1;1.19;1;0;0.07;
2503;42.7794;2.7755;RCP8.5;H1;1.15;1;0.06;0.09;
2504;42.779;2.873;RCP8.5;H1;1.19;1;-0.17;0.14;
2505;42.7784;2.9706;RCP8.5;H1;1.19;1;-0.2;0.14;
2506;42.7778;3.0681;RCP8.5;H1;0;0;0;0.11;
2564;42.5894;8.7114;RCP8.5;H1;0;0;0;0.07;
2565;42.5835;8.8083;RCP8.5;H1;1.15;1;0.74;0.07;
2566;42.5776;8.9052;RCP8.5;H1;1.17;1;-0.17;0.07;
2567;42.5716;9.002;RCP8.5;H1;1.22;0;0.04;0.07;
2568;42.5654;9.0989;RCP8.5;H1;1.21;2;0.7;0.11;
2569;42.5592;9.1957;RCP8.5;H1;1.26;1;0.37;0.1;
2570;42.5529;9.2925;RCP8.5;H1;1.32;1;0.97;0.08;
2571;42.5465;9.3892;RCP8.5;H1;1.38;1;-0.73;0.13;
2572;42.54;9.486;RCP8.5;H1;1.16;2;-0.7;0.13;
2611;42.8106;-0.6407;RCP8.5;H1;0;0;0;-0.07;
2612;42.8133;-0.5431;RCP8.5;H1;1.3;-2;-1.47;-0.05;
2613;42.8159;-0.4456;RCP8.5;H1;1.29;-4;-1.5;-0.05;
2614;42.8184;-0.3481;RCP8.5;H1;1.37;-2;-1.13;-0.06;
2615;42.8208;-0.2505;RCP8.5;H1;1.37;0;-1.36;-0.03;
2616;42.8231;-0.1529;RCP8.5;H1;1.45;-3;-1.43;-0.04;
2617;42.8254;-0.0554;RCP8.5;H1;1.36;0;-1.5;-0.05;
2618;42.8275;0.0422;RCP8.5;H1;1.41;-2;-1.1;-0.05;
2619;42.8296;0.1398;RCP8.5;H1;1.4;-1;-1.5;-0.05;
2620;42.8315;0.2374;RCP8.5;H1;1.31;-1;-1.44;-0.04;
2621;42.8334;0.335;RCP8.5;H1;1.34;-1;-1.26;-0.02;
2622;42.8352;0.4326;RCP8.5;H1;1.39;-1;-1.13;-0.04;
2623;42.8369;0.5302;RCP8.5;H1;1.23;-1;-1.6;-0;
2624;42.8385;0.6278;RCP8.5;H1;1.23;-1;-1.26;0;
2625;42.84;0.7254;RCP8.5;H1;0;0;0;-0;
2626;42.8414;0.823;RCP8.5;H1;1.26;0;-2.74;-0.04;
2627;42.8428;0.9206;RCP8.5;H1;1.24;-1;-2.66;-0.02;
2628;42.844;1.0183;RCP8.5;H1;1.19;0;-1.73;-0.01;
2629;42.8452;1.1159;RCP8.5;H1;1.32;1;-1.47;-0.01;
2630;42.8463;1.2136;RCP8.5;H1;1.29;1;-1.24;0.01;
