#-----------------------------------------------------------------------------
# Date d'extraction : 26/12/2025 - 16h22 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     ATXHWD : Ecart de nombre de jours d'une vague de chaleur (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;ATXHWD;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Période;ATXHWD;
2357;42.7084;2.4827;RCP8.5;H1;9;
2358;42.7082;2.5801;RCP8.5;H1;9;
2359;42.7079;2.6775;RCP8.5;H1;8;
2360;42.7076;2.775;RCP8.5;H1;6;
2361;42.7071;2.8724;RCP8.5;H1;6;
2362;42.7066;2.9698;RCP8.5;H1;6;
2363;42.706;3.0672;RCP8.5;H1;0;
2421;42.5178;8.7036;RCP8.5;H1;3;
2422;42.512;8.8003;RCP8.5;H1;3;
2423;42.506;8.8971;RCP8.5;H1;8;
2424;42.5;8.9938;RCP8.5;H1;8;
2425;42.4939;9.0905;RCP8.5;H1;8;
2426;42.4877;9.1872;RCP8.5;H1;7;
2427;42.4814;9.2839;RCP8.5;H1;12;
2428;42.475;9.3805;RCP8.5;H1;13;
2429;42.4685;9.4772;RCP8.5;H1;5;
2430;42.4619;9.5738;RCP8.5;H1;0;
2473;42.7513;-0.1499;RCP8.5;H1;0;
2474;42.7535;-0.0524;RCP8.5;H1;21;
2475;42.7557;0.045;RCP8.5;H1;21;
2476;42.7577;0.1425;RCP8.5;H1;18;
2477;42.7597;0.24;RCP8.5;H1;21;
2478;42.7616;0.3374;RCP8.5;H1;20;
2479;42.7634;0.4349;RCP8.5;H1;24;
2480;42.765;0.5324;RCP8.5;H1;20;
2481;42.7667;0.6299;RCP8.5;H1;19;
2484;42.7709;0.9224;RCP8.5;H1;19;
2485;42.7722;1.0199;RCP8.5;H1;0;
2486;42.7733;1.1174;RCP8.5;H1;18;
2487;42.7744;1.2149;RCP8.5;H1;16;
2488;42.7754;1.3125;RCP8.5;H1;17;
2489;42.7763;1.41;RCP8.5;H1;16;
2490;42.7771;1.5075;RCP8.5;H1;16;
2491;42.7778;1.6051;RCP8.5;H1;18;
2492;42.7784;1.7026;RCP8.5;H1;17;
2493;42.779;1.8001;RCP8.5;H1;15;
2494;42.7794;1.8977;RCP8.5;H1;17;
2495;42.7798;1.9952;RCP8.5;H1;17;
2496;42.78;2.0927;RCP8.5;H1;12;
2497;42.7802;2.1903;RCP8.5;H1;11;
2498;42.7803;2.2878;RCP8.5;H1;10;
2499;42.7803;2.3854;RCP8.5;H1;9;
2500;42.7802;2.4829;RCP8.5;H1;8;
2501;42.78;2.5804;RCP8.5;H1;8;
2502;42.7798;2.678;RCP8.5;H1;9;
